name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Ann Arbor,2024-06-30T10:00:00,17.3,17.3,10.1,62.61,0,0,,0,0,40.7,20.8,339,1020.1,36.4,16,650,2.3,7,10,Partially cloudy,partly-cloudy-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-06-30T11:00:00,17.1,17.1,9.9,62.54,0,0,,0,0,37.1,25.5,348,1020.3,2.9,16,833,3,8,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-06-30T12:00:00,18,18,11.1,63.98,0,0,,0,0,38.7,12.1,322,1020.8,45.7,16,1030,3.7,10,10,Partially cloudy,partly-cloudy-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-06-30T13:00:00,18.9,18.9,10.7,58.66,0,0,,0,0,35.5,21.2,322,1021.5,51.3,16,859,3.1,9,10,Partially cloudy,partly-cloudy-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-06-30T14:00:00,19.4,19.4,10.7,57.08,0,0,,0,0,33.5,15.8,341,1021.6,99.6,16,749,2.7,7,10,Overcast,cloudy,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-06-30T15:00:00,19.4,19.4,10.6,57.06,0,0,,0,0,31.6,17.1,348,1022.1,89,16,446,1.6,4,10,Partially cloudy,partly-cloudy-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-06-30T16:00:00,19.4,19.4,11.1,58.69,0,0,,0,0,33.5,22.1,357,1022.2,99.6,16,448,1.6,4,10,Overcast,cloudy,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-06-30T17:00:00,19.9,19.9,11.1,56.62,0,0,,0,0,27.7,20.2,356,1022.2,100,16,775,2.8,8,10,Overcast,cloudy,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-06-30T18:00:00,20.6,20.6,10.1,50.79,0,0,,0,0,36.4,17.8,331,1021.8,29.6,16,130,0.5,1,10,Partially cloudy,partly-cloudy-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-06-30T19:00:00,20.5,20.5,9.4,49.19,0,0,,0,0,25.9,16.3,357,1021.5,79.1,16,49,0.2,0,10,Partially cloudy,partly-cloudy-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-06-30T20:00:00,20,20,8.9,48.68,0,0,,0,0,24.1,17.3,357,1021.8,83.4,16,111,0.4,1,10,Partially cloudy,partly-cloudy-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-06-30T21:00:00,17.9,17.9,8.8,55.25,0,0,,0,0,24.1,11.3,357,1022.1,1.6,16,7,0,0,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-06-30T22:00:00,16.2,16.2,8.8,61.5,0,0,,0,0,22.3,9.4,349,1022.4,0.9,14.3,0,0,0,10,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-06-30T23:00:00,15.5,15.5,8.9,64.65,0,0,,0,0,24.1,11.4,350,1023.3,0.9,16,0,0,0,10,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-01T00:00:00,13.9,13.9,9.4,74.38,0,0,,0,0,22.3,7.5,31,1024.2,0.9,16,0,0,0,10,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-01T01:00:00,10.4,10.4,8.6,88.71,0,0,,0,0,22.3,0.8,21,1024.7,0.9,16,0,0,0,10,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-01T02:00:00,10.9,10.9,9,88.45,0,0,,0,0,20.5,7.8,32,1024.9,24.5,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-01T03:00:00,11.3,11.3,9.5,88.66,0,0,,0,0,14.8,0.8,360,1025.2,23.6,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-01T04:00:00,8.4,8.4,8.2,98.66,0,0,,0,0,13,0.9,358,1025.5,0,4,0,0,0,10,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-01T05:00:00,8.2,8.2,7.5,95.34,0,0,,0,0,11.2,0.9,359,1025.5,0,2.3,0,0,0,10,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-01T06:00:00,6.7,6.7,6.3,97.45,0,0,,0,0,14.8,1.3,358,1026,0.5,3,5,0,0,10,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874"
Ann Arbor,2024-07-01T07:00:00,11.3,11.3,10,91.8,0,0,,0,0,14.8,7.6,349,1026.5,0.9,16,104,0.4,1,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-01T08:00:00,13.9,13.9,10.6,80.84,0,0,,0,0,20.5,9.9,9,1026.7,0,16,297,1.1,3,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-01T09:00:00,16.2,16.2,10.6,69.44,0,0,,0,0,20.5,14.5,18,1026.7,0,16,487,1.8,5,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-01T10:00:00,17.9,17.9,9.9,59.48,0,0,,0,0,18.4,9.1,8,1026.7,0,16,642,2.3,6,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-01T11:00:00,19.9,19.9,8.8,48.61,0,0,,0,0,20.5,10.7,70,1027,0.9,16,775,2.8,8,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-01T12:00:00,20.1,20.1,8.3,46.47,0,0,,0,0,18.4,5.6,58,1026.6,0.9,16,875,3.2,9,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-01T13:00:00,21.7,21.7,9.1,44.6,0,0,,0,0,27.7,6.4,54,1026.3,0,16,921,3.3,9,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-01T14:00:00,21.9,21.9,8.2,41.48,0,0,,0,0,14.8,7.9,73,1025.9,0,16,911,3.3,9,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-01T15:00:00,22.9,22.9,7.7,37.65,0,0,,0,0,29.5,8.4,110,1024.7,0.9,16,854,3.1,9,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-01T16:00:00,23.4,23.4,8.2,37.98,0,0,,0,0,13,8.4,113,1024.8,1.6,15.1,752,2.7,8,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-01T17:00:00,23.3,23.3,8.2,37.97,0,0,,0,0,13,10,81,1024.4,1.6,16,650,2.3,7,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-01T18:00:00,22.3,22.3,8.2,40.2,0,0,,0,0,13,11,127,1023.9,2.9,15.3,294,1.1,3,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-01T19:00:00,22.3,22.3,8,39.81,0,0,,0,0,14.8,11.2,119,1023.2,2.9,15.3,288,1,3,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-01T20:00:00,20.3,20.3,8.6,47.12,0,0,,0,0,14.8,9.5,141,1023.2,2.9,16,86,0.3,1,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-01T21:00:00,18.5,18.5,10.4,59.23,0,0,,0,0,13,8,142,1023,2.9,16,5,0,0,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-01T22:00:00,15.4,15.4,10.9,74.49,0,0,,0,0,11.2,5.5,148,1023.1,2.9,9.1,0,0,0,10,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-01T23:00:00,11.9,11.9,10.3,90.14,0,0,,0,0,11.2,0,0,1023.1,2.9,16,0,0,0,10,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-02T00:00:00,11.8,11.8,10.9,94.11,0,0,,0,0,11.2,0,0,1022.9,2.9,16,0,0,0,10,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-02T01:00:00,11.2,11.2,9.7,90.51,0,0,,0,0,11.2,5.4,138,1022.7,2.9,16,0,0,0,10,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-02T02:00:00,10.6,10.6,9.3,91.57,0,0,,0,0,11.2,0.8,29,1022.9,2.9,16,0,0,0,10,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-02T03:00:00,10.6,10.6,9.2,91.19,0,0,,0,0,11.2,1,26,1022.3,1.6,16,0,0,0,10,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-02T04:00:00,12.4,12.4,11.2,91.86,0,0,,0,0,11.2,1.2,22,1021.8,2.9,16,0,0,0,10,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-02T05:00:00,9.9,9.9,9.2,95.15,0,0,,0,0,11.2,0,0,1022.2,2.9,16,0,0,0,10,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-02T06:00:00,11.3,11.3,9.6,89.25,0,0,,0,0,13,0.8,15,1022.3,2.9,16,5,0,0,10,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-02T07:00:00,13.4,13.4,11.7,89.4,0,0,,0,0,14.8,0.3,8,1021.8,2.9,16,120,0.4,1,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-02T08:00:00,16.8,16.8,13.4,80.65,0,0,,0,0,16.6,0.2,8,1021.9,2.9,16,162,0.6,2,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-02T09:00:00,19.5,19.5,13.9,70.01,0,0,,0,0,20.5,11.4,150,1021.8,2.9,15.8,212,0.8,2,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-02T10:00:00,21.3,21.3,13.8,62.44,0,0,,0,0,24.1,11.9,167,1021.6,2.9,15.7,731,2.6,7,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-02T11:00:00,22.4,22.4,12.9,54.89,0,0,,0,0,27.7,12.1,167,1021.2,2.9,16,918,3.3,9,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-02T12:00:00,23.9,23.9,12.7,49.46,0,0,,0,0,30,18.2,161,1020.4,2.9,16,923,3.3,9,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-02T13:00:00,24.5,24.5,12.1,45.82,0,0,,0,0,31.6,13.7,151,1020.3,1.6,16,861,3.1,9,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-02T14:00:00,25.1,25.1,11.7,43.02,0,0,,0,0,31.3,16.2,142,1019.8,2.9,15.4,844,3,8,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-02T15:00:00,24.6,24.6,12.8,47.86,0,0,,0,0,33.5,11.8,131,1018.9,2.9,16,397,1.4,4,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-02T16:00:00,24,24,13.4,51.51,0,0,,0,0,29.5,11.6,146,1018.5,3.2,15.8,176,0.6,2,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-02T17:00:00,23.4,23.4,14.8,58.44,0,0,,0,0,29.5,13.2,121,1017.7,26.9,15.4,428,1.5,4,10,Partially cloudy,partly-cloudy-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-02T18:00:00,23.6,23.6,14.3,55.85,0,0,,0,0,29.5,14.6,138,1017.3,3.2,16,172,0.6,2,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-02T19:00:00,23.1,23.1,14.9,59.97,0,0,,0,0,29.5,14.5,130,1016.2,3.2,16,65,0.2,1,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-02T20:00:00,23,23,14.9,60.31,0,0,,0,0,27.7,13.1,129,1015.4,2.9,16,172,0.6,2,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-02T21:00:00,21.9,21.9,14.9,64.31,0,0,,0,0,27.7,13.1,130,1014.4,2.9,16,5,0,0,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-02T22:00:00,20.8,20.8,16.1,74.59,0,0,,0,0,24.1,5.8,137,1015.1,1.6,14.3,0,0,0,10,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-02T23:00:00,19.5,19.5,16.6,83.45,0,0,,0,0,22.3,5.8,129,1015,0.9,16,0,0,0,10,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-03T00:00:00,19.5,19.5,17.2,86.58,0,0,,0,0,22.3,1.2,25,1014.4,0.9,16,0,0,0,10,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-03T01:00:00,18.3,18.3,16.4,88.93,0,0,,0,0,22.3,1.1,38,1014,77.1,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-03T02:00:00,19.7,19.7,16.9,84.08,0,0,,0,0,24.1,7.9,177,1013.2,37.7,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-03T03:00:00,20.8,20.8,16.2,75.22,0,0,,0,0,25.9,10,185,1012.1,4.7,16,0,0,0,10,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-03T04:00:00,17.8,17.8,15.8,88.28,0,0,,0,0,27.7,1.1,315,1012,1.6,16,0,0,0,10,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-03T05:00:00,19.6,19.6,16.2,80.84,0,0,,0,0,29.5,9.6,197,1011.6,2.9,16,0,0,0,10,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-03T06:00:00,19.6,19.6,16.3,81.33,0,0,,0,0,31.3,9.8,197,1011.3,2.9,16,5,0,0,10,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-03T07:00:00,20.2,20.2,16.9,80.92,0,0,,0,0,33.5,11.6,199,1011.5,2.9,16,53,0.2,1,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-03T08:00:00,22.1,22.1,17.9,77.46,0,0,,0,0,35.3,14,208,1011.6,2.9,16,165,0.6,2,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-03T09:00:00,24.4,24.4,18.8,70.94,0,0,,0,0,35.3,14.4,229,1011.8,2.9,15.8,506,1.8,5,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-03T10:00:00,25.8,25.8,18.8,65.29,0,0,,0,0,33.7,24.1,230,1012.1,2.9,16,573,2.1,6,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-03T11:00:00,26.8,28.1,19.8,65.62,0,0,,0,0,25.9,12.1,222,1011.8,56,16,391,1.4,4,10,Partially cloudy,partly-cloudy-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-03T12:00:00,26.9,28.5,20.4,67.8,0,0,,0,0,37.1,12.4,237,1012.3,48.7,16,325,1.2,3,10,Partially cloudy,partly-cloudy-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-03T13:00:00,25.9,25.9,20.5,71.89,0,0,,0,0,37.1,15.2,263,1013.2,98.8,16,476,1.7,5,10,Overcast,cloudy,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-03T14:00:00,28.4,30.9,21.6,66.49,0,0,,0,0,38.9,13.4,231,1012.6,56,16,302,1.1,3,10,Partially cloudy,partly-cloudy-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-03T15:00:00,28.5,31,21.5,65.78,0,0,,0,0,29.9,14.2,247,1012.4,84.7,16,319,1.1,3,10,Partially cloudy,partly-cloudy-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-03T16:00:00,28.1,30.3,21.1,65.9,0,0,,0,0,35.3,18.8,266,1012.4,48.7,16,317,1.1,3,10,Partially cloudy,partly-cloudy-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-03T17:00:00,28.5,31.3,22,68.14,0,0,,0,0,37.1,17.2,280,1012.3,89,16,346,1.2,3,10,Partially cloudy,partly-cloudy-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-03T18:00:00,28.5,30.8,21.1,64.56,0,0,,0,0,39.3,26.4,277,1012.4,55.6,16,461,1.7,5,10,Partially cloudy,partly-cloudy-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-03T19:00:00,28,29.9,20.6,64.11,0,0,,0,0,35.3,17.3,268,1011.9,29.6,16,269,1,3,10,Partially cloudy,partly-cloudy-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-03T20:00:00,27.4,28.9,20,64.19,0,0,,0,0,22.3,11.5,270,1012.2,1.6,16,120,0.4,1,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-03T21:00:00,24.8,24.8,20,74.88,0,0,,0,0,20.5,6.2,240,1012.6,1.6,16,7,0,0,3,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-03T22:00:00,20.8,20.8,19.4,91.88,0,0,,0,0,18.4,5.7,231,1013.1,1.6,14.3,0,0,0,10,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-03T23:00:00,20.6,20.6,19.4,92.4,0,0,,0,0,16.6,0.2,354,1013.2,2.9,16,0,0,0,3,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-04T00:00:00,19.5,19.5,18.6,94.39,0,0,,0,0,14.8,7.6,242,1013.8,2.9,16,0,0,0,10,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-04T01:00:00,18.9,18.9,18.1,94.67,0,0,,0,0,13,0.9,319,1013.9,2.9,16,0,0,0,10,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-04T02:00:00,17.3,17.3,17,97.6,0,0,,0,0,13,0.2,353,1014.2,2.9,4,0,0,0,10,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-04T03:00:00,16.2,16.2,15.4,94.85,0,0,,0,0,11.2,5.4,206,1014.1,0.9,13.4,0,0,0,10,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-04T04:00:00,15.7,15.7,15.2,97.11,0,0,,0,0,11.2,1.1,353,1013.7,0.5,3.8,0,0,0,10,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874"
Ann Arbor,2024-07-04T05:00:00,16.1,16.1,15.2,94.8,0,0,,0,0,11.2,0,0,1013.3,2.9,11.7,0,0,0,10,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-04T06:00:00,17.5,17.5,16.3,92.76,0,0,,0,0,11.2,0.8,31,1013.5,2.9,15.9,5,0,0,10,Clear,clear-night,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-04T07:00:00,17.1,17.1,16.4,95.83,0,0,,0,0,9.4,0,0,1013.3,2.9,15.9,95,0.3,1,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-04T08:00:00,20.8,20.8,18.4,85.82,0,0,,0,0,11.2,0.6,210,1013.4,1.5,16,279,1,3,10,Clear,clear-day,"72537094847,72537614853,72537494889,C4874"
Ann Arbor,2024-07-04T09:00:00,23.5,23.5,18.7,74.69,0,0,,0,0,11.2,7.5,241,1013.6,1.6,16,468,1.7,5,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-04T10:00:00,25.8,25.8,18.7,64.93,0,0,,0,0,11.2,5.4,249,1013.6,1.6,16,701,2.5,7,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-04T11:00:00,27.3,28.4,18.6,59.26,0,0,,0,0,13,6.7,219,1013.7,2.9,16,492,1.8,5,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-04T12:00:00,27.3,28.6,19.2,61.35,0,0,,0,0,14.8,6,233,1014.1,3.2,16,297,1.1,3,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-04T13:00:00,26.8,28.1,19.2,62.77,0,0,,0,0,16.6,6.1,209,1014,3.2,16,230,0.8,2,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-04T14:00:00,26.3,26.3,19.8,67.57,0,0,,0,0,16.6,7.9,200,1013.4,3.2,16,360,1.3,4,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-04T15:00:00,26.8,28.1,19.2,63.12,0,0,,0,0,16.6,7.9,172,1012.4,6.3,16,357,1.3,4,10,Clear,clear-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
Ann Arbor,2024-07-04T16:00:00,27.3,28.4,18.8,59.87,0,0,,0,0,18.4,7.6,119,1011.1,85,16,374,1.3,4,10,Partially cloudy,partly-cloudy-day,"72537094847,72537614853,KARB,KYIP,72537494889,C4874,KDTW"
